"filename", "language", "Properties", "Markdown", "JSON", "Python", "JavaScript", "pip requirements", "MS SQL", "JSON with Comments", "vue", "HTML", "JavaScript JSX", "comment", "blank", "total"
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/patient.py", "Python", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 9, 42
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/allergy_service.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 4, 15
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/ambulance/ambulance.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/ambulance/basic_check.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/ambulance/operation_histories_sevice.py", "Python", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 17, 61
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/case_history_service.py", "Python", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 4, 12, 69
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/chat_service.py", "Python", 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 31, 40, 274
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/check/check_histories_service.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/check/check_service.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/department_service.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 5, 18
